t,x,y,ang,vx,vy,omega,thrust,torque
0.0,-0.20187690609318132,1.071427313700707,-0.7026217058875985,-1.4317594455951659,-1.5709549063562511,-2.6107849871651005,176.01189952753188,200.0
0.0025,-0.20541844807064177,1.0675136493577986,-0.7090827476170909,-1.401444389692665,-1.5600095857011036,-2.55807069863977,168.52604151510715,200.0
0.005,-0.20888550808101428,1.0636253302993435,-0.7154121707503189,-1.3721760760466457,-1.5506766518117896,-2.5054900536121845,174.19270759028367,199.9972261502004
0.0075,-0.21227802919600797,1.0597614459195457,-0.721610309771797,-1.341813276301516,-1.54046259299845,-2.453043352571099,168.72719379114724,199.91637552856452
0.01,-0.2155955695037853,1.055921580361869,-0.7276775216199367,-1.31219320380352,-1.531460003066133,-2.400748250803319,172.58480857293392,199.77206410768372
0.0125,-0.21883806532747746,1.0521048944992395,-0.7336142031028119,-1.2817779977284822,-1.5219191646720358,-2.3486189901958574,168.61443726161758,199.58027044130068
0.015,-0.22200516663916986,1.0483109137763826,-0.7394207819827608,-1.2518790591827307,-1.5132946128643825,-2.296666093846686,171.12714516829718,199.3283363246697
0.0175,-0.225096812806087,1.044538855549079,-0.7450977159448221,-1.221414390827564,-1.5043811875600615,-2.2449029755949,168.23637100071863,199.02765309618167
0.02,-0.22811273683070463,1.0407882004033053,-0.7506454928829204,-1.1913025909293216,-1.4961710873492138,-2.1933403898355586,169.76623877768625,198.66950367700016
0.0225,-0.2310528900523771,1.0370582094159166,-0.7560646300552879,-1.1607983814413734,-1.4878496594268085,-2.1419910727812317,167.63430677617887,198.26188947974686
0.025,-0.23391708052859525,1.0333483298947237,-0.7613556742141616,-1.1305334841947816,-1.4800810018560917,-2.0908658842168952,168.4567389575229,197.79897021946795
0.0275,-0.23670527935022945,1.0296578561214718,-0.7665192009100842,-1.1000057612023593,-1.4723247046101637,-2.039977002444235,166.84209488139123,197.28629780566655
0.03,-0.23941736272371042,1.0259862115102463,-0.7715558145005841,-1.0696421033064274,-1.4650168568029331,-1.9893352953048813,167.16135789364697,196.72008436074776
0.0325,-0.24205332798220652,1.0223327151481014,-0.7764661475700718,-1.0391120063677375,-1.4578056420651073,-1.938952476104921,165.88649868885838,196.10415092351303
0.035,-0.24461311370049837,1.018696773926865,-0.7812508608477966,-1.0086993664534896,-1.4509719905311584,-1.8888393477944205,165.850332830583,195.43614069738857
0.0375,-0.24709674863902154,1.0150777252295593,-0.7859106427154033,-0.9781921289111887,-1.444291087545069,-1.839007229121761,164.78795530381035,194.7186783773743
0.04,-0.24950422903581282,1.01147496504259,-0.7904462090590398,-0.9477765655570776,-1.4379404670761593,-1.7894668052088283,164.50058209849777,193.95038237174006
0.0425,-0.2518356190317006,1.0078878441458214,-0.7948583028419816,-0.9173205478197607,-1.4317790725517034,-1.7402290525126705,163.5615573778309,193.13306823360077
0.045,-0.2540909687757755,1.0043157517745331,-0.7991476939105725,-0.886945146263393,-1.4259169548979624,-1.6913045012198855,163.09471109222835,192.26600380206193
0.0475,-0.2562703806422515,1.0007580485207979,-0.8033151786142602,-0.8565709685779554,-1.4202671655566832,-1.6427038235664346,162.21811093007264,191.35046879687698
0.05,-0.25837395572934385,0.9972141198527186,-0.8073615795804087,-0.8262764623818228,-1.4148966090694917,-1.594437369786143,161.61999672697536,190.38615363948173
0.0525,-0.2604018365568233,0.993683333621809,-0.8112877453683787,-0.7960162607578127,-1.4097525849508568,-1.546515535223093,160.76515754880543,189.37399031460524
0.055,-0.2623541728251974,0.9901650736111695,-0.8150945502243191,-0.7658415169585253,-1.4048749652939874,-1.4989484740659984,160.06744213045178,188.31393782812714
0.0575,-0.2642311483343555,0.9866587131599843,-0.8187828937594733,-0.7357283266312681,-1.4002322972862402,-1.4517463242084279,159.2078873725424,187.20670673976122
0.06,-0.26603295948780664,0.9831636357778859,-0.8223537006928815,-0.7057106993573254,-1.3958478502121892,-1.404919034074561,158.4309560363204,186.0524226733618
0.0625,-0.26775983187351854,0.9796792190911748,-0.8258079205468968,-0.6757779569918779,-1.391703097976026,-1.3584764979135542,157.54990453580038,184.85165758981609
0.065,-0.269412006998923,0.9762048472652372,-0.8291465273832775,-0.6459535249003275,-1.3878113092808555,-1.3124284530666561,156.70667939160577,183.6046378516924
