t,x,y,ang,thrust,torque
0.0,-1.9963283688335698,7.033633690821484,-3.166031384243433,0.0,79.82857385884107
0.0025,-1.9938339769726388,7.035274608282698,-3.1593501719584305,0.0,79.7708113159294
0.005,-1.991342701153602,7.036852264143824,-3.152639918272542,0.0,79.7079571487491
0.0075,-1.9888545374838404,7.038366737432457,-3.1459007315625374,0.0,79.64001135730021
0.01,-1.986369482075598,7.039818107077474,-3.1391327228641743,0.0,79.56697394158273
0.0125,-1.983887531045975,7.04120645190915,-3.1323360058654584,0.0,79.4888449015966
0.015,-1.9814086805169224,7.042531850659283,-3.125510696899919,0.0,79.4056242373419
0.0175,-1.978932926615236,7.043794381961319,-3.1186569149399026,0.0,79.3173119488186
0.02,-1.9764602654725496,7.044994124350473,-3.1117747815898817,0.0,79.22390803602666
0.0225,-1.9739906932253297,7.046131156263854,-3.1048644210797827,0.0,79.12541249896614
0.025,-1.971524206014869,7.047205556040584,-3.0979259602583293,0.0,79.021825337637
0.0275,-1.969060799987281,7.048217401921923,-3.0909595285864033,0.0,78.91314655203924
0.03,-1.966600471293493,7.0491667720513895,-3.0839652581304224,0.0,78.79937614217289
0.0325,-1.9641432160892411,7.050053744474885,-3.076943283555734,0.0,78.68051410803795
0.035,-1.9616890305350636,7.050878397140815,-3.0698937421200263,0.0,78.55656044963439
0.0375,-1.959237910796295,7.051640807900209,-3.0628167736667566,0.0,78.42751516696222
0.04,-1.95678985304306,7.052341054506843,-3.055712520618596,0.0,78.29337826002144
0.0425,-1.9543448534502683,7.052979214617363,-3.048581127970889,0.0,78.15414972881204
0.045,-1.9519029081976074,7.053555365791404,-3.041422743285133,0.0,78.00982957333407
0.0475,-1.9494640134695371,7.054069585491712,-3.0342375166824707,0.0,77.86041779358746
0.05,-1.9470281654552841,7.054521951084267,-3.0270256008372027,0.0,77.70591438957226
0.0525,-1.9445953603488353,7.054912539838398,-3.019787150970313,0.0,77.54631936128844
0.055,-1.9421655943489322,7.055241428926911,-3.0125223248430135,0.0,77.38163270873602
0.0575,-1.9397388636590651,7.055508695426206,-3.005231282750303,0.0,77.211854431915
0.06,-1.9373151644874667,7.0557144163163965,-2.997914187514544,0.0,77.03698453082538
0.0625,-1.9348944930471064,7.055858668481431,-2.990571204479056,0.0,76.85702300546716
0.065,-1.9324768455556847,7.055941528709214,-2.9832025015017227,0.0,76.6719698558403
0.0675,-1.930062218235627,7.055963073691724,-2.975808248948618,0.0,76.48182508194486
0.07,-1.9276506073140776,7.055923380025136,-2.9683886196876466,0.0,76.28658868378079
0.0725,-1.9252420090228939,7.055822524209937,-2.960943789082202,0.0,76.08626066134813
0.075,-1.9228364195986405,7.055660582651051,-2.9534739349848396,0.0,75.88084101464685
0.0775,-1.9204338352825836,7.055437631657954,-2.9459792377309646,0.0,75.67032974367699
0.08,-1.9180342523206846,7.055153747444795,-2.93845988013254,0.0,75.4547268484385
0.0825,-1.9156376669635946,7.054809006130514,-2.930916047471806,0.0,75.23403232893142
0.085,-1.9132440754666487,7.054403483738964,-2.923347927495017,0.0,75.00824618515571
0.08750000000000001,-1.9108534740898593,7.053937256199026,-2.9157557104061964,0.0,74.77736841711142
0.09,-1.9084658590979116,7.053410399344728,-2.9081395888609043,0.0,74.54139902479851
0.0925,-1.9060812267601566,7.052822988915367,-2.900499757960023,0.00035623163058551895,74.30033800821698
0.095,-1.9036995733237614,7.052175100447635,-2.892836415243557,0.0008014190411998693,74.05418536736686
0.0975,-1.901320895004907,7.05146680924949,-2.8851497606844485,0.0012695306233260649,73.80294110224813
0.1,-1.898945188011964,7.050698190501977,-2.8774399966824116,0.0017605663769641074,73.54660521286081
0.10250000000000001,-1.8965724485500495,7.049869319279558,-2.869707328057778,0.0022745263021139994,73.28517769920485
0.105,-1.8942026728207035,7.048980270550383,-2.8619519620453593,0.002811410398775736,73.01865856128032
0.1075,-1.89183585702157,7.048031119176578,-2.854174108288329,0.0033712186669493183,72.74704779908716
0.11,-1.8894719973460763,7.047021939914525,-2.846373978832113,0.003953951106634751,72.47034541262539
0.1125,-1.887111089983114,7.0459528074151585,-2.838551788118302,0.004559607717832028,72.18855140189503
0.115,-1.8847531311167223,7.044823796224263,-2.830707752978576,0.005188188500541152,71.90166576689604
0.11750000000000001,-1.8823981169257706,7.043634980782772,-2.8228420926286426,0.005839693454762121,71.60968850762846
0.12,-1.880046043583645,7.042386435427085,-2.814955028662197,0.006514122580494937,71.31261962409228
0.1225,-1.8776969072579341,7.041078234389374,-2.8070467850448897,0.007211475877739601,71.01045911628749
0.125,-1.8753507041101178,7.039710451797909,-2.7991175881083152,0.007931753346496111,70.70320698421409
0.1275,-1.8730074302952573,7.038283161677381,-2.791167666544012,0.008674954986764467,70.39086322787207
0.13,-1.8706670819616873,7.036796437949234,-2.7831972513974814,0.00944108079854467,70.07342784726146
0.1325,-1.868329655250711,7.035250354432005,-2.7752065760622178,0.01023013078183672,69.75090084238224
0.135,-1.8659951462962954,7.033644984841663,-2.7671958762737576,0.011042104936640615,69.4232822132344
0.1375,-1.8636635512247717,7.031980402791959,-2.7591653901037403,0.011824039257189434,69.09201999277823
0.14,-1.8613348661607507,7.030256681810111,-2.7511153575366385,0.012450786106333262,68.76053571042542
0.14250000000000002,-1.8590090872484195,7.028473895388414,-2.7430460190617665,0.0129170637549304,68.42897376835576
0.145,-1.8566862106685382,7.026632117021416,-2.734957614645071,0.013222872202980863,68.0973341665693
0.1475,-1.8543662326412595,7.024731420206584,-2.7268503836888742,0.013368211450484634,67.76561690506595
0.15,-1.85204914942833,7.022771878443399,-2.7187245650333014,0.013353081497441728,67.43382198384583
0.1525,-1.8497349573352846,7.020753565232406,-2.710580396957708,0.013177482343852144,67.10194940290883
0.155,-1.8474236527136318,7.018676554074233,-2.7024181171820993,0.012841413989715878,66.76999916225503
0.1575,-1.8451152319630317,7.016540918468562,-2.6942379628685513,0.012344876435032928,66.43797126188439
0.16,-1.8428096915334622,7.014346731913064,-2.6860401706226216,0.011687869679803297,66.10586570179689
0.1625,-1.8405070279273756,7.012094067902296,-2.6778249764947635,0.010870393724026987,65.77368248199257
0.165,-1.838207237701843,7.009782999926553,-2.669592615981732,0.009892448567703993,65.44142160247141
0.1675,-1.8359103174706861,7.007413601470687,-2.6613433240279867,0.008754034210834314,65.10908306323341
0.17,-1.8336162639065967,7.00498594601288,-2.6530773350270938,0.0074551506534179645,64.7766668642786
0.17250000000000001,-1.8313250737432396,7.002500107023382,-2.644794882823122,0.005995797895454928,64.44417300560694
0.17500000000000002,-1.8290367437773427,6.999956157963206,-2.6364962007120343,0.004375975936945211,64.11160148721846
0.1775,-1.8267512708707692,6.997354172282788,-2.62818152144308,0.0025956847778888133,63.77895230911314
0.18,-1.8244686519525737,6.994694223420601,-2.619851077220179,0.0006549244182857301,63.44622547129097
0.1825,-1.8221888840210405,6.99197638480174,-2.6115050997033045,0.0,63.11342097375198
0.185,-1.819911963916193,6.9892007294473135,-2.6031438200098633,0.0,62.78053881649616
0.1875,-1.8176378881833735,6.9863673297598075,-2.5947674687160696,0.0,62.44757899952351
0.19,-1.8153666532693384,6.9834762578745435,-2.5863762758583184,0.0,62.11454152283402
0.1925,-1.8130982556252828,6.9805275858367315,-2.5779704709345532,0.0,61.78142638642768
0.195,-1.8108326917068347,6.977521385601581,-2.5695502829056314,0.0,61.448233590304525
0.1975,-1.8085699579740502,6.974457729034413,-2.561115940196686,0.0,61.114963134464524
0.2,-1.8063100508914072,6.9713366879107745,-2.5526676706984843,0.0,60.781615018907694
0.2025,-1.8040529669278005,6.968158333916547,-2.5442057017687816,0.0,60.44818924363403
0.20500000000000002,-1.801798702556536,6.964922738648061,-2.5357302602336733,0.0,60.11468580864354
0.20750000000000002,-1.7995472542553252,6.961629973612211,-2.5272415723889425,0.0,59.7811047139362
0.21,-1.7972986185062796,6.958280110226558,-2.5187398640014047,0.0,59.447445959512045
0.2125,-1.7950527917959052,6.954873219819451,-2.510225360310248,0.0,59.113709545371044
0.215,-1.7928097706150976,6.951409373630132,-2.501698286028372,0.0,58.77989547151321
0.2175,-1.7905695514591355,6.947888642808852,-2.4931588653437213,0.0,58.446003737938554
0.22,-1.7883321308276763,6.9443110984169785,-2.484607321920617,0.0,58.11203434464706
0.2225,-1.7860975052247496,6.940676811427107,-2.4760438789010832,0.0,57.77798729163871
0.225,-1.7838656711587526,6.936985852723173,-2.4674687589061723,0.0,57.44386257891355
0.2275,-1.7816366251424438,6.933238293100563,-2.458882184037285,0.0,57.10949108587211
0.23,-1.7794103636929386,6.929434203266224,-2.450284375926231,0.0,56.77417753893643
0.2325,-1.777186883331703,6.925573653838775,-2.4416755559855132,0.0,56.43784677339501
0.23500000000000001,-1.7749661805845487,6.921656715348617,-2.433055945630767,0.0,56.10049878924784
0.23750000000000002,-1.7727482519816269,6.917683458238043,-2.4244257663023983,0.0,55.76213358649495
0.24,-1.7705330940574238,6.913653952861347,-2.4157852394655204,0.0,55.422751165136326
0.2425,-1.7683207033507546,6.909568269484937,-2.4071345866098914,0.0,55.08235152517196
0.245,-1.7661110764047585,6.905426478287441,-2.3984740292498525,0.0,54.740934666601866
0.2475,-1.7639042097668929,6.90122864935982,-2.3898037889242643,0.0,54.398500589426035
0.25,-1.761700099988928,6.896974852705475,-2.381124087196446,0.0,54.055049293644466
0.2525,-1.7594987436269423,6.892665158240359,-2.3724351456541117,0.0,53.71058077925716
0.255,-1.7573001372413157,6.888299635793081,-2.3637371859093106,0.0,53.36509504626413
0.2575,-1.7551042773967254,6.883878355105024,-2.3550304295983637,0.0,53.01859209466535
0.26,-1.75291116066214,6.879401385830444,-2.3463150983818037,0.0,52.67107192446085
0.2625,-1.7507207836108138,6.874868797536586,-2.337591413944312,0.0,52.322534535650604
0.265,-1.7485331428202826,6.870280659703791,-2.3288595979946582,0.0,51.97297992823462
0.2675,-1.7463482348723571,6.865637041725602,-2.3201198722656398,0.0,51.622408102212916
0.27,-1.7441660563531183,6.860938012908875,-2.3113724585140196,0.0,51.27081905758546
0.2725,-1.7419866038529115,6.856183642473885,-2.302617578520467,0.006377256095395592,50.91821279435227
0.275,-1.739809872480452,6.851373998227629,-2.293855454089495,0.019355546551283992,50.56458931251336
0.2775,-1.737635854288276,6.846509145236792,-2.285086307049403,0.03327372803894886,50.2099486120687
0.28,-1.7354645394935062,6.841589147020354,-2.2763103592522125,0.04813180055838982,49.854290693018314
0.28250000000000003,-1.733295917782922,6.836614066749557,-2.2675278325736103,0.06392976410960657,49.497615555362195
0.28500000000000003,-1.7311299783050194,6.831583967261536,-2.258738948912887,0.08066761869259977,49.13992319910033
0.28750000000000003,-1.7289667096623023,6.826498911073111,-2.249943930192877,0.09834536430736869,48.78121362423275
0.29,-1.7268060999038028,6.8213589603947264,-2.241142998359899,0.11696300095391414,48.42148683075942
0.2925,-1.724648136517837,6.816164177144539,-2.232336375383698,0.1365205286322353,48.06074281868034
0.295,-1.722492806424999,6.810914622962646,-2.223524283257383,0.157017947342333,47.69898158799555
0.2975,-1.7203400959713957,6.805610359225457,-2.21470694399737,0.17845525708420634,47.33620313870502
0.3,-1.7181899909221268,6.800251447060191,-2.2058845796433224,0.2008324578578562,46.97240747080874
0.3025,-1.7160424764550102,6.79483794735951,-2.1970574122580913,0.22414954966328177,46.60759458430675
0.305,-1.7138975371545597,6.789369920796275,-2.188225663927658,0.24840653250048395,46.241764479199006
0.3075,-1.711755157006215,6.783847427838421,-2.179389556761074,0.2736034063694617,45.87491715548553
0.31,-1.7096153193908266,6.778270528763946,-2.1705493128904045,0.2997401712702161,45.50705261316632
0.3125,-1.7074780070794002,6.772639283676018,-2.161705154470667,0.3268168272027461,45.13817085224137
0.315,-1.705343202228101,6.766953752518174,-2.1528573036797756,0.3548333741670527,44.7682718727107
0.3175,-1.7032108863735218,6.761213995089636,-2.144005982718482,0.38316847542257065,44.39735475400625
0.32,-1.7010810405915906,6.755420071165488,-2.135151413810584,0.40703116251886384,44.02541239786374
0.3225,-1.6989536469263908,6.749572041408661,-2.126293819205176,0.42541497262507405,43.65244331311508
0.325,-1.6968286899469678,6.7436699682994,-2.117433421179061,0.4383199057412017,43.27844749976031
0.3275,-1.6947061570587028,6.737713916228716,-2.1085704420371076,0.44574596186724685,42.90342495779939
0.33,-1.6925860385494575,6.731703951419582,-2.0997051041121804,0.4476931410032094,42.52737568723235
0.3325,-1.690468327634327,6.725640141847311,-2.0908376297650686,0.44416144314908934,42.15029968805915
0.335,-1.6883530204989805,6.719522557159159,-2.0819682413844154,0.4351508683048871,41.77219696027984
0.3375,-1.686240116341577,6.713351268593161,-2.0730971613866465,0.42066141647060185,41.39306750389438
0.34,-1.6841296174132396,6.7071263488962405,-2.0642246122159005,0.40069308764623446,41.012911318902795
0.3425,-1.6820215290570721,6.700847872241615,-2.055350816343959,0.3752458818317841,40.63172840530507
0.34500000000000003,-1.6799158597457047,6.694515914145532,-2.046475996270175,0.3443197990272519,40.24951876310123
0.34750000000000003,-1.6778126211173556,6.68813055138335,-2.0376003745214044,0.30791483923263624,39.866282392291225
0.35000000000000003,-1.6757118280103944,6.681691861905008,-2.0287241736519364,0.26603100244793904,39.48201929287511
0.3525,-1.6736134984963946,6.675199924749904,-2.0198476162434225,0.21866828867315818,39.09672946485284
0.355,-1.671517653911666,6.668654819961219,-2.0109709249048087,0.16582669790829596,38.710412908224455
0.3575,-1.6694243188872524,6.662056628499701,-2.002094322272265,0.10750623015335004,38.32306962298992
0.36,-1.6673335213773868,6.655405432156958,-1.9932180310091172,0.04370688540832279,37.934699609149256
0.3625,-1.6652452926863937,6.64870131346828,-1.984342273805778,0.0,37.54530286670245
0.365,-1.6631596601702179,6.641944352436746,-1.9754672733796783,0.0,37.15487939564951
0.3675,-1.6610766330659656,6.635134620595129,-1.9665932524751981,0.0,36.763429195990454
0.37,-1.6589962081189067,6.6282721838657315,-1.9577204338635992,0.0,36.370952267725244
0.3725,-1.6569183820783764,6.621357108088505,-1.948849040342956,0.0,35.97744861085391
0.375,-1.6548431516977715,6.614389459021152,-1.9399792947380883,0.0,35.58291822537644
0.3775,-1.6527705137345439,6.607369302339229,-1.931111419900493,0.0,35.18736111129284
0.38,-1.6507004649501964,6.60029670363625,-1.9222456387082771,0.0,34.790777268603094
0.3825,-1.6486330021102773,6.593171728423788,-1.9133821740660895,0.0,34.39316669730722
0.385,-1.6465681219843755,6.585994442131578,-1.904521248905054,0.0,33.9945293974052
0.3875,-1.6445058213461154,6.578764910107618,-1.8956630861827024,0.0,33.59486536889707
0.39,-1.642446096973152,6.5714831976182735,-1.8868079088829073,0.0,33.19417461178278
0.3925,-1.6403889456471654,6.564149369848376,-1.8779559400158152,0.0,32.792457126062374
0.395,-1.6383343641538561,6.55676349190133,-1.8691074026177805,0.0,32.38971291173582
0.3975,-1.6362823492829404,6.549325628799208,-1.860262519751298,0.0,31.985941968803147
0.4,-1.6342328978281444,6.541835845482858,-1.851421514504938,0.0,31.581144297264323
0.4025,-1.6321860065872,6.534294206812002,-1.8425846099932788,0.0,31.175319897119362
0.405,-1.6301416723618392,6.526700777565338,-1.8337520293568417,0.0,30.768468768368283
0.40750000000000003,-1.6280998919577891,6.519055622440642,-1.8249239957620247,0.0,30.360602780632238
0.41000000000000003,-1.6260606621847675,6.511358806054866,-1.8161007323976166,0.0,29.951934375909023
0.41250000000000003,-1.6240239798564775,6.5036103929442435,-1.8072824624100916,0.0,29.542542039042075
0.41500000000000004,-1.6219898417906027,6.495810447564388,-1.7984694088199187,0.0,29.132425770031425
0.4175,-1.6199582448088017,6.487959034290393,-1.7896617944992796,0.0,28.721585568877032
0.42,-1.617929185736704,6.480056217416933,-1.7808598421724446,0.0,28.310021435578925
0.4225,-1.6159026614039043,6.472102061158365,-1.7720637744161472,0.0,27.897733370137093
0.425,-1.613878668643958,6.464096629648829,-1.7632738136599584,0.0,27.484721372551544
0.4275,-1.6118572042943757,6.456039986942345,-1.7544901821866603,0.0,27.070985442822263
0.43,-1.6098382651966194,6.4479321970129195,-1.7457131021326175,0.0,26.656525580949275
0.4325,-1.6078218481960962,6.439773323754637,-1.7369427954881484,0.0,26.241341786932548
0.435,-1.6058079501421538,6.431563430981767,-1.7281794840978961,0.0,25.82543406077211
0.4375,-1.6037965678880766,6.423302582428861,-1.7194233896611968,0.0,25.408802402467945
0.44,-1.601787698291079,6.414990841750851,-1.7106747337324488,0.0,24.99144681202005
0.4425,-1.599781338212302,6.40662827252315,-1.7019337377214803,0.0,24.57336728942845
0.445,-1.5977774845168076,6.398214938241753,-1.6932006228939145,0.0,24.154563834693114
0.4475,-1.5957761340735739,6.389750902323332,-1.684475610371537,0.0,23.735036447814064
0.45,-1.5937772837554904,6.381236228105339,-1.6757589211326591,0.0,23.314785128791282
0.4525,-1.5917809304393533,6.372670978846106,-1.6670507760124822,0.0822890538133274,22.893809877624793
0.455,-1.589787045413221,6.364055215328807,-1.6583513957034604,0.5128943989281427,22.472110694314566
0.4575,-1.587795465958847,6.355388987185068,-1.6496610007556625,0.9754331149522417,22.049687578860627
0.46,-1.5858059109964262,6.346672337119754,-1.6409798115771328,1.4699052018856449,21.626540531262958
0.4625,-1.5838180795546504,6.337905311214483,-1.6323080484342516,1.99631065972833,21.202669551521577
0.465,-1.5818316508247694,6.329087959437552,-1.6236459314520937,2.5546494884803206,20.778074639636465
0.4675,-1.579846284223415,6.320220336151639,-1.614993680614787,3.1449216881415922,20.352755795607635
0.47000000000000003,-1.5778616194641149,6.311302500619107,-1.6063515157658703,3.7671272587121694,19.926713019435073
0.47250000000000003,-1.575877276637423,6.302334517504749,-1.5977196566086487,4.421266200192029,19.499946311118805
0.47500000000000003,-1.5738928562995924,6.293316457375816,-1.5890983227065498,5.107338512581194,19.072455670658798
0.47750000000000004,-1.5719079395697046,6.284248397199145,-1.5804877334834786,5.825344195879636,18.644241098055083
0.48,-1.569922088235175,6.275130420835252,-1.5718881082241702,6.575283250087391,18.215302593307634
0.4825,-1.567934844865543,6.2659626195292075,-1.563299666074544,7.357155675204439,17.785640156416466
0.485,-1.565945732934459,6.256745092398159,-1.5547226260420541,8.17096147123076,17.355253787381578
0.4875,-1.5639542569497695,6.2474779469153265,-1.5461572069960419,9.016700638166395,16.924143486202965
0.49,-1.5619599025916049,6.238161299390333,-1.5376036276680847,9.894373176011305,16.492309252880638
0.4925,-1.559962136858366,6.228795275445711,-1.5290621066523464,10.80397908476553,16.05975108741458
0.495,-1.5579604082205072,6.21938001048945,-1.520532862405925,11.745518364429024,15.62646898980481
0.4975,-1.555954146782005,6.209915650183418,-1.5120161132492,12.718732901779882,15.19247365090785
0.5,-1.5539427645298776,6.200402350902571,-1.5035120773630988,13.701912506191343,14.758664290577126
0.5025000000000001,-1.5519256623558124,6.190840279712391,-1.495020972527199,14.681176421593676,14.325615839344223
0.505,-1.5499022413015051,6.1812296138139455,-1.4865430156960902,15.656524647986842,13.893328297209147
0.5075000000000001,-1.5478719070085167,6.171570540186503,-1.4780784228359003,16.627957185370814,13.46180166417192
0.51,-1.5458340698331288,6.161863255471296,-1.469627408926801,17.595474033745667,13.031035940232503
0.5125,-1.5437881449589212,6.152107965853871,-1.4611901879655087,18.55907519311136,12.60103112539091
0.515,-1.5417335525070546,6.142304886945046,-1.452766972967776,19.518760663467898,12.17178721964715
0.5175,-1.5396697176442369,6.132454243660542,-1.4443579759708798,20.474530444815237,11.743304223001235
0.52,-1.5375960706883582,6.122556270099324,-1.4359634080361021,21.426384537153446,11.315582135453129
0.5225,-1.535512047211778,6.112611209420698,-1.4275834792512043,22.3743229404825,10.88862095700285
0.525,-1.533417088142247,6.102619313720218,-1.4192183987328946,23.3183456548024,10.462420687650399
0.5275,-1.5313106398614524,6.09258084390444,-1.4108683746292903,24.25845268011314,10.036981327395775
0.53,-1.529192154301171,6.082496069564587,-1.4025336141223739,25.19464401641468,9.612302876239
0.5325,-1.5270610890370198,6.072365268849145,-1.3942143234304416,26.126919663707103,9.188385334180033
0.535,-1.5249169073797912,6.062188728335469,-1.3859107078105473,27.055279621990362,8.765228701218895
0.5375,-1.522759078464366,6.051966742900417,-1.377622971560939,27.97972389126447,8.342832977355584
0.54,-1.52058707733619,6.04169961559008,-1.36935131802349,28.900252471529374,7.92119816259012
0.5425,-1.518400385035311,6.031387657488645,-1.361095949586123,29.816865362785162,7.500324256922466
0.545,-1.5161984886779671,6.02103118758644,-1.3528570676852294,30.729562565031785,7.080211260352641
0.5475,-1.5139808815357212,6.010630532647208,-1.3446348728080808,31.638344078269256,6.660859172880642
0.55,-1.5117470631121344,6.000186027074653,-1.3364295644952358,32.54320990249752,6.24226799450649
0.5525,-1.5094965392169784,5.989698012778316,-1.3282413413429401,33.44416003771668,5.824437725230148
0.555,-1.5072288220379795,5.979166839038812,-1.3200704010055204,34.341194483926664,5.407368365051633
0.5575,-1.504943430210096,5.968592862372488,-1.3119169401977726,35.234313241127495,4.991059913970947
0.56,-1.502639888882325,5.957976446395536,-1.3037811546973432,36.12351630931917,4.57551237198809
0.5625,-1.5003177297820405,5.947317961687617,-1.2956632393471061,37.00880368850165,4.160725739103078
0.5650000000000001,-1.497976491276863,5.936617785655035,-1.2875633880575317,37.890175378674996,3.746700015315874
