t,x,y,ang,thrust,torque
0.0,-1.552728484708128,8.891631651913393,-5.987624965677483,106.21791096272779,3.5172336159491424
0.0025,-1.5505276249294673,8.886588416629568,-5.990903930894671,106.38875667398287,3.5667586680827577
0.005,-1.5483486462522762,8.881553851745982,-5.994172542266391,106.55817532844588,3.6178094484714474
0.0075,-1.5461913437028307,8.876528110484703,-5.997430797066498,106.72616692611686,3.670385957115214
0.01,-1.544055512105719,8.871511344343672,-6.000678691696646,106.8927314669958,3.7244881940140573
0.0125,-1.541940946098985,8.866503703097987,-6.003916221688502,107.05786895108268,3.780116159167977
0.015,-1.5398474401492552,8.861505334801265,-6.007143381705946,107.22157937837754,3.837269852576972
0.0175,-1.5377747885668451,8.856516385787112,-6.0103601655472785,107.38386274888032,3.895949274241043
0.02,-1.5357227855208493,8.85153700067066,-6.013566566147409,107.54471906259108,3.956154424160191
0.0225,-1.5336912250542114,8.846567322350221,-6.016762575580048,107.70414831950977,4.017885302334414
0.025,-1.5316799010987765,8.841607492009006,-6.019948185059889,107.86215051963646,4.081141908763715
0.0275,-1.5296886074903244,8.836657649116939,-6.023123384944787,108.0187256629711,4.145924243448091
0.03,-1.5277171379835828,8.83171793143257,-6.026288164737932,108.17387374951369,4.212232306387543
0.0325,-1.5257652862672226,8.826788475005062,-6.029442513090013,108.32759477926422,4.280066097582072
0.035,-1.5238328459788333,8.821869414176273,-6.0325864178013795,108.47988875222266,4.3494256170316765
0.0375,-1.5219196107198771,8.816960881582924,-6.035719865824201,108.63075566838914,4.420310864736357
0.04,-1.5200253740706258,8.812063008158848,-6.0388428432646135,108.78019552776354,4.492721840696115
0.0425,-1.518149929605075,8.807175923137338,-6.041955335384865,108.92820833034591,4.566658544910949
0.045,-1.5162930709058398,8.802299754053566,-6.045057326605458,109.0747940761362,4.642120977380857
0.0475,-1.514454591579028,8.797434626747098,-6.048148800507279,109.21995276513445,4.719109138105842
0.05,-1.5126342852690935,8.792580665364488,-6.0512297398337305,109.36368439734068,4.797623027085905
0.0525,-1.5108319456736687,8.787737992361963,-6.054300126492852,109.50598897275486,4.877662644321043
0.055,-1.5090473665583741,8.78290672850819,-6.057359941559441,109.64686649137701,4.959227989811256
0.0575,-1.507280341771607,8.778086992887117,-6.060409165277162,109.78631695320708,5.042319063556547
0.06,-1.505530665259308,8.773278902900916,-6.063447777060654,109.92434035824513,5.126935865556914
0.0625,-1.5037981310797046,8.768482574273001,-6.066475755497636,110.0609367064911,5.213078395812356
0.065,-1.5020825334180334,8.763698121051121,-6.069493078350997,110.1961059979451,5.300746654322875
0.0675,-1.5003836666012371,8.758925655610545,-6.072499722560895,110.329848232607,5.3899406410884705
0.07,-1.4987013251126398,8.754165288657328,-6.075495664246837,110.46216341047688,5.480660356109142
0.0725,-1.4970353036065973,8.749417129231656,-6.07848087870976,110.5930515315547,5.572905799384889
0.075,-1.495385396923125,8.744681284711275,-6.0814553404341085,110.72251259584047,5.666676970915712
0.0775,-1.4937514001024994,8.739957860814998,-6.084419023089905,110.85054660333421,5.761973870701612
0.08,-1.492133108399836,8.735246961606293,-6.08737189953481,110.97715355403591,5.858796498742589
