t,x,y,ang,vx,vy,omega,thrust,torque
0.0,3.6510996718008304,7.351929819338457,-2.602465558804769,-0.6514841012964152,-0.9492279293607422,-3.263114825638437,0.0,200.0
0.0025,3.6494719790674868,7.34952761982233,-2.610555356988024,-0.6506702549297434,-0.9725268296026787,-3.208746722867747,0.0,200.0
0.005,3.647846319678955,7.347067209444965,-2.618509407282644,-0.6498574252354773,-0.9957966244139966,-3.1545164564147483,0.0,200.0
0.0075,3.646222691095141,7.344548660924483,-2.6263280538424274,-0.6490456109435704,-1.0190373501537553,-3.1004236768309683,0.0,200.0
0.01,3.6446010907791253,7.341972046888158,-2.6340116399486595,-0.6482348107855627,-1.0422490431355933,-3.046468035553871,0.0,200.0
0.0125,3.6429815161971573,7.339337439872543,-2.6415605080123252,-0.6474250234945786,-1.0654317396277855,-2.9926491849046104,0.0,200.0
0.015,3.641363964818651,7.336644912323572,-2.6489749995763137,-0.6466162478053256,-1.0885854758533,-2.9389667780857915,0.0,200.0
0.0175,3.639748434116182,7.333894536596681,-2.6562554553176203,-0.6458084824540912,-1.1117102879898544,-2.885420469179234,2.5749210462194235e-10,200.0
0.02,3.638134921565484,7.331086384956916,-2.6634022150495418,-0.6450017261787122,-1.1348062121700293,-2.8320099131437444,9.270207361036703e-10,200.0
0.0225,3.6365234246454428,7.328220529579051,-2.6704156177238656,-0.6441959777185856,-1.157873284481303,-2.7787347658128922,1.3978286172703288e-09,200.0
0.025,3.634913940838094,7.325297042547695,-2.6772960014330547,-0.6433912358147539,-1.180911540965937,-2.7255946838927927,1.6699157481219103e-09,200.0
0.0275,3.63330646762862,7.3223159958574096,-2.684043703412425,-0.642587499209831,-1.2039210176211679,-2.6725893249598935,1.743282128658416e-09,200.0
0.03,3.6317010025053427,7.319277461412818,-2.69065906004232,-0.6417847666480012,-1.2269017503992634,-2.619718347458769,1.6179277588798477e-09,200.0
0.0325,3.6300975429597226,7.316181511028718,-2.6971424068502774,-0.6409830368750161,-1.2498537752075785,-2.5669814106999205,1.2938526387862037e-09,200.0
0.035,3.6284960864863542,7.313028216430199,-2.7034940785131902,-0.6401823086381937,-1.2727771279086113,-2.514378174857578,7.710567683774864e-10,200.0
0.0375,3.626896630582961,7.3098176492527465,-2.709714408859466,-0.6393825806864158,-1.2956718443200599,-2.461908300967514,4.954014765369254e-11,200.0
0.04,3.6252991727503927,7.3065498810423595,-2.7158037308711744,-0.6385838517701266,-1.3185379602148777,-2.409571450924856,0.0,200.0
0.0425,3.623703710492621,7.303224983255659,-2.721762376686197,-0.6377861206412407,-1.3413755113215275,-2.35736728748191,0.0,200.0
0.045,3.622110241316736,7.299843027260002,-2.727590677600364,-0.6369893860532981,-1.3641845333236993,-2.3052954742459866,0.0,200.0
0.0475,3.6205187627329414,7.296404084333592,-2.7332889640695903,-0.6361936467614009,-1.386965061860494,-2.2533556756772333,0.0,200.0
0.05,3.618929272254552,7.29290822566559,-2.738857565712006,-0.6353989015222061,-1.4097171325264926,-2.2015475570864727,0.0,200.0
0.0525,3.617341767397988,7.2893555223562245,-2.7442968113100785,-0.6346051490939243,-1.4324407808718098,-2.149870784633045,0.0,200.0
0.055,3.6157562456827734,7.285746045416907,-2.749607028812732,-0.633812388236317,-1.455136042402151,-2.0983250253226586,0.0,199.9565644709387
0.0575,3.61417270463153,7.282079865770339,-2.754788557856345,-0.6330206177106953,-1.477802952578867,-2.0469199578773885,0.0,199.77992864510955
0.06,3.6125911417699745,7.278357054250624,-2.7598417881152035,-0.6322298362799175,-1.5004415468190093,-1.9956859251579837,0.0,199.58810487208945
0.0625,3.6110115546269146,7.274577681603378,-2.7647671510113083,-0.6314400427083875,-1.5230518604953862,-1.944625994016072,0.0,199.38109315187833
0.065,3.609433940734245,7.27074181848584,-2.7695650856240666,-0.6306512357620527,-1.5456339289366174,-1.8937432235280687,0.0,199.15889348447627
0.0675,3.6078582976269438,7.266849535466984,-2.7742360386708778,-0.6298634142084022,-1.5681877874271895,-1.843040665014889,0.0,198.92150586988322
0.07,3.6062846228430683,7.262900903027626,-2.77878046448777,-0.6290765768164645,-1.5907134712075106,-1.79252136206161,0.0,198.6689303080992
0.0725,3.6047129139237515,7.258895991560538,-2.7831988250100843,-0.6282907223568059,-1.6132110154739665,-1.7421883505370832,0.0,198.4011667991242
0.075,3.6031431684131974,7.254834871370555,-2.7874915897532095,-0.627505849601529,-1.6356804553789748,-1.6920446586134965,0.0,198.11821534295825
0.0775,3.6015753838586786,7.250717612674685,-2.791659235793364,-0.6267219573242697,-1.6581218260310397,-1.6420933067858876,0.0,197.82007593960128
0.08,3.6000095578105316,7.24654428560222,-2.795702247748428,-0.6259390443001962,-1.6805351624948075,-1.592337307891607,0.0,197.50674858905333
0.0825,3.598445687822153,7.242314960194847,-2.799621117758823,-0.6251571093060068,-1.702920499791121,-1.5427796671297322,0.0,197.1786161384846
0.085,3.596883771449995,7.238029706406753,-2.8034163453580967,-0.6243761511199278,-1.7252778728970741,-1.4934232938431269,0.0,196.83939328779903
0.08750000000000001,3.5953238062535635,7.233688594104739,-2.8070884362732893,-0.6235961685217121,-1.747607316746067,-1.4442702338474394,0.0,196.49001664076218
0.09,3.5937657897954125,7.229291693068325,-2.8106379010695473,-0.6228171602926365,-1.7699088662278604,-1.3953223119064475,0.0,196.13048619737413
0.0925,3.5922097196411404,7.224839072989864,-2.8140652548681424,-0.6220391252155005,-1.7921825561886295,-1.3465813481577107,0.0,195.76080195763473
0.095,3.590655593359388,7.220330803474645,-2.817371017334919,-0.6212620620746243,-1.8144284214310198,-1.2980491581242988,0.0,195.38096392154412
0.0975,3.5891034085218325,7.215766954041006,-2.8205557126687735,-0.6204859696558465,-1.8366464967142,-1.2497275527264902,0.0,194.9909720891022
0.1,3.5875531627031845,7.21114759412044,-2.8236198695901615,-0.6197108467465224,-1.8588368167539175,-1.2016183382934416,0.0,194.59082646030902
0.10250000000000001,3.586004853481185,7.206472793057709,-2.8265640213296352,-0.6189366921355226,-1.8809994162225516,-1.1537233165748277,0.0,194.18052703516457
0.105,3.5844584784366,7.201742620110943,-2.829388705616408,-0.6181635046132301,-1.9031343297491687,-1.1060442847524512,0.0,193.7600738136689
0.1075,3.5829140351532183,7.1969571444517575,-2.832094464666951,-0.6173912829715393,-1.9252415919195756,-1.0585830354518226,0.0,193.3294667958219
0.11,3.5813715212178474,7.192116435165354,-2.834681845173614,-0.6166200260038538,-1.947321237276374,-1.0113413567537133,0.0,192.88870598162367
0.1125,3.5798309342203085,7.187220561250634,-2.837151398293282,-0.6158497325050843,-1.9693733003190141,-0.9643210322056757,8.027513715654767e-09,192.43779137107416
0.115,3.578292271753435,7.182269591620302,-2.839503679636053,-0.6150804012710483,-1.9913978155057632,-0.9175238408335372,2.163848698486988e-08,191.97672296417338
0.11750000000000001,3.5767555314130686,7.177263595100969,-2.8417392492539495,-0.6143120310992615,-2.0133948172512635,-0.8709515571528637,3.6640563642688386e-08,191.50550076092136
0.12,3.5752207107980545,7.172202640433267,-2.843858671629657,-0.6135446207890581,-2.0353643399261667,-0.8246059511803938,5.303374368911022e-08,191.0241247613181
0.1225,3.5736878075102383,7.167086796271953,-2.845862515665292,-0.6127781691412735,-2.0573064178581886,-0.7784887884454449,7.081802712413556e-08,190.5325949653635
0.125,3.5721568191544613,7.161916131186019,-2.847751354671196,-0.6120126749582414,-2.0792210853321627,-0.7326018300012893,8.999341394776431e-08,190.03091137305768
0.1275,3.5706277433385574,7.1566907136588,-2.8495257663547604,-0.6112481370437924,-2.101108376590093,-0.6869468324365029,1.1055990415999661e-07,189.51907398440056
0.13,3.5691005776733484,7.151410612088077,-2.8511863328092795,-0.6104845542032517,-2.1229683258312075,-0.6415255478862836,1.325174977608321e-07,188.9970827993922
0.1325,3.5675753197726414,7.146075894786189,-2.85273364050283,-0.6097219252434367,-2.1448009672120127,-0.5963397240437418,1.5586619475027104e-07,188.46493781803258
0.135,3.5660519672532245,7.140686629980134,-2.854168280267181,-0.6089602489726554,-2.1666063348463456,-0.5513911041711624,1.8060599512831358e-07,187.92263904032166
0.1375,3.5645305177348634,7.135242885811682,-2.8554908472867306,-0.6081995242007041,-2.188384462805427,-0.5066814271112379,2.047217847179721e-07,187.37236417213757
0.14,3.5630109688402967,7.129744730337475,-2.8567019404598173,-0.607439749739007,-2.2101353851174323,-0.4622119253880721,2.2127393952459698e-07,186.82161276866032
