t,x,y,ang,vx,vy,omega,thrust,torque
0.0,1.3033085502606656,1.6499446835647023,-1.7687876267177771,0.5555343704292715,-2.6752091153676085,5.31795619256719,0.0,19.262168986284447
0.0025,1.304696518525848,1.6432302268058268,-1.755504044554934,0.5548403862966803,-2.696351886988171,5.308913363521754,0.43006042304340747,18.935184087910255
0.005,1.306082885074588,1.636462922051706,-1.742243135038182,0.5542530171557896,-2.717487279235742,5.299818097878877,0.9078608654790203,18.591421664112755
0.0075,1.3074679315980393,1.6296427887672018,-1.7290050339283485,0.5537843814034875,-2.7386144528979255,5.29066666175138,1.4334013173226698,18.23088171489195
0.01,1.3088519700877466,1.6227698491008564,-1.715789886309141,0.5534465999294541,-2.7597321004501287,5.28145533071839,2.0066817785743556,17.853564240247845
0.0125,1.3102353428263833,1.6158441290539163,-1.7025978465635108,0.5532517837318599,-2.7808384474899706,5.2721803898013455,2.627702249234077,17.459469240180425
0.015,1.311618422347651,1.6088656596453976,-1.689429078350078,0.5532120216325954,-2.8019312544707544,5.262838133440056,3.2964627293018354,17.048596714689698
0.0175,1.313001611365602,1.6018344780724445,-1.6762837545796152,0.5533393681014189,-2.8230078187319987,5.253424865468822,4.01296321877763,16.62094666377567
0.02,1.3143853426736671,1.5947506288652435,-1.6631620573915906,0.55364583119597,-2.8440649768243897,5.243936899092622,4.777203717661461,16.176519087438333
0.0225,1.315770079013685,1.5876141650357611,-1.6500641781307717,0.5541433606246023,-2.865099107126367,5.234370556863354,5.589184225953327,15.715313985677687
0.025,1.3171563129152508,1.5804251492195773,-1.636990317323887,0.5548438359389921,-2.8861061327493824,5.224722170656135,6.44890474365323,15.237331358493742
0.0275,1.3185445665057152,1.573183654810099,-1.623940684656348,0.555759054863473,-2.9070815247287074,5.2149880816456715,7.35636527076117,14.74257120588649
0.03,1.319935391291186,1.5658897670844436,-1.6109154989490295,0.5569007217680415,-2.9280203054965073,5.205164640282676,8.311565807277148,14.23103352785593
0.0325,1.3213293679089004,1.5585435843202906,-1.5979149881351091,0.5582804362919623,-2.948917052633714,5.195248206270354,9.31450635320116,13.702718324402062
0.035,1.3227271058513503,1.551145218903008,-1.584939389236965,0.5599096821248822,-2.969765902897067,5.185235148540946,10.365186908533207,13.157625595524888
0.0375,1.3241292431625664,1.543694798422373,-1.5719889483431329,0.561799815952336,-2.990560556517514,5.17512184523233,11.463607473273292,12.59575534122441
0.04,1.3255364461069787,1.536192466758211,-1.5590639205853212,0.5639620565724973,-3.011294281765983,5.164904683664681,12.609768047421415,12.017107561500627
0.0425,1.3269494088112912,1.5286383851542895,-1.546164570115484,0.5664074741909887,-3.0319599197823632,5.154580060317193,13.803668630977572,11.42168225635353
0.045,1.328368852879822,1.5210327332798177,-1.5332911700829535,0.5691469799005204,-3.0525498896633563,5.1441443808048595,15.045309223941764,10.809479425783135
0.0475,1.3297955269837833,1.513375710277905,-1.520444002611628,0.5721913153520806,-3.073056193804663,5.13359405985531,16.334689826313994,10.18049906978943
0.05,1.3312302064249846,1.505667535800354,-1.5076233587772203,0.5755510426243388,-3.093470423492813,5.122925521285708,17.671810438094262,9.534741188372418
