t,x,y,ang,thrust,torque
0.0,-3.453551886287026,3.200230086217034,-6.080725034132681,134.90715600625185,51.664485895721306
0.0025,-3.4542493771494076,3.1952988653838093,-6.085703731646539,135.09059505690448,51.64454785282209
0.005,-3.454962540753347,3.1903952754963614,-6.090640044067094,135.2702300819366,51.62004448716899
0.0075,-3.4556909708746244,3.185519473992813,-6.095534091654764,135.44606108134823,51.590975798761995
0.01,-3.4564342633713716,3.180671613308557,-6.1003859969955805,135.61808805513934,51.5573417876011
0.0125,-3.4571920162374714,3.1758518409169154,-6.1051958849952905,135.7863110033099,51.519142453686314
0.015,-3.457963829654604,3.171060299369997,-6.109963882873473,135.95072992585997,51.47637779701764
0.0175,-3.4587493060429506,3.166297126339725,-6.1146901201576735,136.11134482278953,51.42904781759506
0.02,-3.459548050110558,3.1615624546590126,-6.119374728677557,136.2681556940986,51.377152515418615
0.0225,-3.460359668901376,3.156856412363061,-6.1240178425590654,136.42116253978713,51.32069189048824
0.025,-3.461183771841968,3.1521791227307614,-6.1286195982186005,136.57036535985512,51.259665942803984
0.0275,-3.462019970786912,3.147530704326173,-6.133180134357214,136.7157641543026,51.19407467236584
0.03,-3.462867880062894,3.1429112710400604,-6.137699591954817,136.8573589231296,51.123918079173805
0.0325,-3.4637271165115022,3.138320932131462,-6.142178114264404,136.9951496663361,51.049196163227876
0.035,-3.464597299530738,3.1337597922692786,-6.146615846806285,137.12913638392203,50.96990892452804
0.0375,-3.465478051115242,3.1292279515738515,-6.151012937362344,137.25931907588742,50.88605636307432
0.04,-3.4663689958952553,3.1247255056585166,-6.1553695359703005,137.38569774223237,50.7976384788667
0.0425,-3.4672697611743186,3.1202525456711134,-6.1596857949179915,137.50827238295676,50.704655271905196
0.045,-3.4681799769657213,3.1158091583354297,-6.163961868737669,137.62704299806066,50.607106742189785
0.0475,-3.4690992760277113,3.1113954259925634,-6.168197914200307,137.74200958754403,50.504992889720484
0.05,-3.470027293897476,3.1070114266421833,-6.172394090309926,137.85317215140688,50.39831371449729
0.0525,-3.470963668923903,3.1026572339836744,-6.176550558297936,137.96053068964923,50.28706921652021
0.055,-3.471908042299133,3.0983329174571455,-6.180667481617482,138.06408520227106,50.17125939578923
0.0575,-3.4728600580889153,3.0940385422842867,-6.1847450259378185,138.1638356892724,50.05088425230434
0.06,-3.4738193632617773,3.0897741695090617,-6.188783359138688,138.25978215065317,49.92594378606559
0.0625,-3.4747856077170187,3.0855398560382135,-6.192782651304715,138.35192458641347,49.79643799707293
0.065,-3.475758444311542,3.0813356546815753,-6.196743074719822,138.44026299655323,49.662366885326364
0.0675,-3.476737528885531,3.0771616141921685,-6.200664803861646,138.5247973810725,49.52373045082592
0.07,-3.477722520286987,3.073017779306074,-6.204548015395983,138.6055277399712,49.38052869357157
0.0725,-3.478713080395139,3.068904190782064,-6.208392888171238,138.6824540732494,49.232761613563326
0.075,-3.4797088741427356,3.06482088544098,-6.212199603212891,138.75557638090714,49.0804292108012
0.0775,-3.4807095695372303,3.0607678962048483,-6.21596834371798,138.82496807853215,48.92367388129862
0.08,-3.4817148376823877,3.056745252158594,-6.21969929500855,138.8918236826652,48.76481249533393
0.0825,-3.482724352821743,3.0527529789838592,-6.223392643817505,138.95656249101097,48.60465831781936
0.085,-3.4837377923823847,3.0487910995000327,-6.227048577383424,139.01918450356936,48.443211348754886
0.08750000000000001,-3.4847548369894414,3.0448596338322895,-6.230667283215089,139.0796897203405,48.28047158814056
0.09,-3.4857751704709647,3.0409585994484307,-6.234248949090799,139.1380781413243,48.11643903597634
0.0925,-3.4867984798621854,3.0370880111952983,-6.237793763057683,139.1943497665208,47.95111369226224
0.095,-3.487824455409156,3.0332478813347588,-6.24130191343102,139.24850459592997,47.78449555699827
0.0975,-3.4888527905717877,3.029438219579258,-6.24477358879356,139.30054262955184,47.616584630184406
0.1,-3.489883182026292,3.025659033126943,-6.248208977994846,139.35046386738637,47.44738091182066
0.10250000000000001,-3.490915329667041,3.021910326696348,-6.251608270150537,139.3982683094336,47.27688440190703
0.105,-3.491948936607851,3.018192102560643,-6.254971654641732,139.44395595569353,47.10509510044353
0.1075,-3.492983709182704,3.014504360581449,-6.258299321114301,139.48752680616613,46.932013007430136
0.11,-3.4940193569459135,3.010847098242208,-6.261591459478209,139.52898086085145,46.75763812286687
0.1125,-3.4950555926717484,3.007220310681117,-6.2648482599068505,139.5683181197494,46.58197044675373
0.115,-3.4960921323535192,3.0036239907236184,-6.268069912836377,139.60553858286008,46.40500997909069
0.11750000000000001,-3.497128695202141,3.00005812891445,-6.271256608965036,139.64064225018342,46.22675671987778
0.12,-3.4981650036441816,2.996522713549252,-6.274408539252503,139.67362912171944,46.04721066911498
0.1225,-3.4992007833194,2.9930177307057315,-6.277525894919222,139.70449919746818,45.86637182680231
0.125,-3.5002357630777925,2.9895431642743833,-6.280608867445739,139.73325247742957,45.684240192939754
0.1275,-3.501269674976147,2.9860989959887685,-6.283657648572048,139.75988896160368,45.500815767527314
0.13,-3.5023022542741207,2.982685205455349,-6.286672430296931,139.7847024389956,45.316167456640386
0.1325,-3.503333239429435,2.979301770274653,-6.28965340485744,139.80824919328847,45.13042573257279
0.135,-3.504362372090409,2.975948666335594,-6.292600764670851,139.83054244363865,44.94359369578155
0.1375,-3.5053893970860144,2.9726258680213276,-6.295514702295734,139.8515821900463,44.755671346266716
0.14,-3.5064140624154714,2.969333348240713,-6.298395410430707,139.87136843251125,44.566658684028255
0.14250000000000002,-3.5074361192375476,2.9660710784551862,-6.301243081914079,139.88990117103364,44.37655570906618
0.145,-3.508455321859549,2.962839028705168,-6.304057909723494,139.90718040561336,44.18536242138048
0.1475,-3.5094714277260133,2.959637167636012,-6.306840086975583,139.92320613625049,43.99307882097116
0.15,-3.5104841974071155,2.956465462523503,-6.309589806925607,139.93797836294505,43.799704907838226
0.1525,-3.5114933945867857,2.9533238792988974,-6.312307262967106,139.95149708569693,43.60524068198166
0.155,-3.512498786050553,2.9502123825735143,-6.314992648631551,139.96376230450622,43.409686143401494
0.1575,-3.5135001416731177,2.9471309356628845,-6.317646157587991,139.97477401937294,43.21304129209771
0.16,-3.5144972344056598,2.9440795006104516,-6.320267983642707,139.984532230297,43.01530612807029
0.1625,-3.515489840262889,2.9410580382108353,-6.322858320738863,139.99303693727842,42.81648065131926
0.165,-3.5164777383098467,2.938066508032657,-6.325417362956158,140.00028814031725,42.61656486184461
0.1675,-3.517460710648458,2.935104868440932,-6.327945304510482,140.0062858394135,42.415558759646345
0.17,-3.51843854240385,2.9321730766190335,-6.330442339753569,140.0110300345671,42.21346234472447
0.17250000000000001,-3.519411021710432,2.9292710885902267,-6.3329086631726526,140.01452072577808,42.01027561707895
0.17500000000000002,-3.520377939697753,2.926398859238783,-6.335344469390123,140.01675791304646,41.80599857670983
0.1775,-3.521339090476134,2.923556342330672,-6.337749953163186,140.01774159637222,41.6006312236171
0.18,-3.5222942711220875,2.92074349053384,-6.340125309383518,140.01751249747406,41.39421120671201
0.1825,-3.5232432816627903,2.9179602554507746,-6.342470733066076,140.01654171518294,41.18717407632666
0.185,-3.524185925051424,2.915206587797525,-6.344786419212409,140.01496367721734,40.979644116440454
0.1875,-3.525122007139254,2.912482437611198,-6.347072562649444,140.01277838357728,40.771621327053396
0.19,-3.5260513366552035,2.9097877543098982,-6.349329357994141,140.00998583426272,40.56310570816548
0.1925,-3.5269737251876982,2.907122486710297,-6.35155699965402,140.0065860292737,40.35409725977672
0.195,-3.5278889871664334,2.904486583044813,-6.353755681827698,140.00257896861018,40.1445959818871
0.1975,-3.528796939844062,2.9018799909783963,-6.355925598505413,139.99796465227226,39.93460187449663
0.2,-3.5296974032778103,2.8993026576249252,-6.358066943469557,139.99274308025977,39.7241149376053
0.2025,-3.530590200311025,2.8967545295632244,-6.360179910295198,139.98691425257283,39.513135171213115
0.20500000000000002,-3.531475156554656,2.894235552852703,-6.36226469235061,139.98047816921144,39.30166257532008
0.20750000000000002,-3.532352100368672,2.891745673048619,-6.364321482797798,139.9734348301755,39.08969714992618
0.21,-3.5332208628434234,2.8892848352169813,-6.366350474593014,139.96578423546515,38.87723889503144
0.2125,-3.5340812777809463,2.8868529839490837,-6.368351860487287,139.9575263850803,38.66428781063585
0.215,-3.5349331816762137,2.884450063375683,-6.370325833026938,139.948661279021,38.4508438967394
0.2175,-3.5357764136983403,2.8820760171808257,-6.372272584554102,139.9391889172872,38.23690715334209
0.22,-3.5366108156717373,2.879730788615324,-6.374192307207241,139.92910929987892,38.02247758044393
0.2225,-3.5374362320572277,2.877414320509889,-6.376085192921667,139.91842242679618,37.80755517804492
0.225,-3.538252509933119,2.8751265552879266,-6.377951433430052,139.90712829803894,37.59213994614505
0.2275,-3.539059498976239,2.872867434977996,-6.379791220262944,139.89522691360725,37.37623188474433
0.23,-3.5398570514429375,2.8706369012259443,-6.381604744749278,139.88271827350104,37.159830993842746
0.2325,-3.540645022150053,2.8684348953067103,-6.383392198016887,139.8697581946417,36.94309426858334
0.23500000000000001,-3.5414232684509557,2.866261358184239,-6.385153770947768,139.85658611455594,36.72626295701818
0.23750000000000002,-3.5421916502036352,2.864116230645368,-6.386889654063953,139.8432046642614,36.50933971005962
0.24,-3.542950029742959,2.8619994533855677,-6.388600037458196,139.82961384375812,36.29232452770767
0.2425,-3.5436982718602748,2.8599109670198777,-6.390285110794289,139.81581365304618,36.07521740996234
0.245,-3.5444362437831334,2.8578507120927226,-6.391945063308152,139.8018040921255,35.85801835682362
0.2475,-3.5451638151550533,2.855818629087439,-6.393580083808922,139.7875851609961,35.64072736829151
