t,x,y,ang,vx,vy,omega,thrust,torque
0.0,-0.6753061159399398,2.601422003444992,2.896527125420148,-1.7558875154390974,2.180795708097717,-5.204609122460948,0.0,-22.950553018001866
0.0025,-0.6796930922970934,2.6068399743977166,2.8835254885204993,-1.7536940272605206,2.153586722621355,-5.19670374184392,0.0,-22.897133081366988
0.005,-0.6840745883596983,2.6121899653830813,2.8705436054057905,-1.7515032792292182,2.1264117271286724,-5.188806091238531,0.0,-22.836662660990093
0.0075,-0.6884506109738427,2.6174720613229585,2.8575814588075734,-1.749315267922146,2.099270679158734,-5.180914526075955,0.0,-22.769141756871193
0.01,-0.6928211669770632,2.6226863470331336,2.844639035563608,-1.7471299899205357,2.072163536303646,-5.173027405956745,0.0,-22.694570369010282
0.0125,-0.6971862631983543,2.6278329072234397,2.831716326607452,-1.7449474418098903,2.045090256208493,-5.165143094640266,0.0,-22.612948497407345
0.015,-0.7015459064581797,2.6329118264978875,2.8188133269580766,-1.7427676201799776,2.018050796571269,-5.157259960034148,0.0,-22.52427614206241
0.0175,-0.7059001035684829,2.6379231893547996,2.8059300357095105,-1.7405905216248259,1.991045115142813,-5.149376374183772,0.0,-22.42855330297545
0.02,-0.7102488613326977,2.6428670801869414,2.793066456020507,-1.7384161427427185,1.964073169726742,-5.141490713261779,0.0,-22.32577998014648
0.0225,-0.7145921865457592,2.6477435832816534,2.7802225951042407,-1.7362444801361878,1.937134918179386,-5.133601357557604,0.0,-22.2159561735755
0.025,-0.7189300859941137,2.6525527828209827,2.767398464218026,-1.7340755304120106,1.9102303184097214,-5.125706691467041,0.0,-22.0990818832625
0.0275,-0.7232625664557301,2.6572947628818144,2.7545940786530663,-1.7319092901812023,1.8833593283793055,-5.117805103481835,0.0,-21.97515710920749
0.03,-0.72758963470011,2.6619696074360033,2.7418094577242274,-1.7297457560590124,1.8565219061022111,-5.109894986179293,0.0,-21.844181851410468
0.0325,-0.7319112974882983,2.666577400350505,2.729044624759834,-1.7275849246649182,1.8297180096449603,-5.101974736211926,0.0,-21.70615610987143
0.035,-0.7362275615728942,2.6711182253875068,2.716299607091498,-1.7254267926226203,1.8029475971264595,-5.094042754297125,0.0,-21.561079884590384
0.0375,-0.7405384336980609,2.6755921662045585,2.703574436043967,-1.723271356560037,1.7762106267179336,-5.086097445206844,0.0,-21.408953175567323
0.04,-0.7448439205995373,2.679999306354704,2.6908691469249995,-1.7211186131092988,1.749507056642861,-5.078137217757331,0.0,-21.24977598280225
0.0425,-0.7491440290046474,2.6843397292866102,2.678183779015271,-1.7189685589067438,1.7228368451769078,-5.070160484798869,0.0,-21.08354830629516
0.045,-0.7534387656323114,2.688613518344699,2.6655183755582987,-1.7168211905929118,1.6961999506478633,-5.062165663205549,0.0,-20.910270146046056
0.0475,-0.7577281371930562,2.6928207567692763,2.652872983750395,-1.7146765048125394,1.6695963314355746,-5.054151173865073,0.0,-20.729941502054942
0.05,-0.7620121503890258,2.6969615276966636,2.640247654730646,-1.7125344982145547,1.643025945971881,-5.046115441668571,0.0,-20.542562374321818
0.0525,-0.7662908119139916,2.701035914159326,2.6276424435709185,-1.7103951674520719,1.6164887527405498,-5.0380568955004605,0.0,-20.348132762846674
0.055,-0.7705641284533632,2.705043999086003,2.615057409265885,-1.708258509182386,1.5899847102772113,-5.029973968228314,0.0,-20.146652667629525
0.0575,-0.7748321066841984,2.7089858653018384,2.6024926147230816,-1.7061245200669684,1.5635137771692937,-5.021865096692767,0.000498827009621684,-19.938122088670358
0.06,-0.7790947533557643,2.712861595395126,2.589948126752987,-1.7039932614208744,1.537075805507387,-5.013728721697441,0.0010925216941457868,-19.72254102596918
0.0625,-0.7833520753089371,2.7166712716948678,2.577424016059127,-1.7018647450420905,1.5106707356449167,-5.005563287998899,0.0017338835552872757,-19.499909479525986
0.065,-0.7876040794070294,2.7204149763941197,2.564920357228206,-1.6997389770603508,1.4842985184568889,-4.9973672442966235,0.002422912593046154,-19.27022744934078
0.0675,-0.7918507725290798,2.7240927915635713,2.5524372287202612,-1.6976159639265036,1.457959105176462,-4.98913904322302,0.0031596088074224227,-19.033494935413557
0.07,-0.796092161570646,2.727704799152451,2.539974712858843,-1.6954957124039964,1.4316524474019456,-4.980877141333444,0.003943972198416081,-18.78971193774433
0.0725,-0.8003282534445755,2.731251080989448,2.52753289582122,-1.693378229560244,1.405378497103569,-4.9725799990962605,0.004776002766027125,-18.53887845633308
0.075,-0.804559055081754,2.7347317187836486,2.515111867628609,-1.6912635227578807,1.3791372066300176,-4.9642460808829165,0.00565570051025556,-18.280994491179822
0.0775,-0.808784573431833,2.7381467941254924,2.50271172213643,-1.6891515996459088,1.3529285287147375,-4.955873854958053,0.006583065431101385,-18.016060042284558
0.08,-0.8130048154639342,2.7414963884877395,2.4903325570245842,-1.6870424681507417,1.326752416482004,-4.947461793469629,0.007558097528564598,-17.74407510964727
0.0825,-0.8172197881673319,2.744780583226457,2.47797447378776,-1.6849361364671527,1.3006088234527546,-4.93900837243908,0.008580796802645198,-17.46503969326797
