t,x,y,ang,vx,vy,omega,thrust,torque
0.0,-0.35262004919242473,5.348211011817051,0.5466802536260815,0.8647172177298046,-1.4683383100607426,-3.2993972045889435,63.76543626608708,47.48875063974555
0.0025,-0.35046991459043214,5.344528890848195,0.5384559080970083,0.8554111156826958,-1.4773453059981094,-3.2800873882117894,66.25117062998586,47.50412567501742
0.005,-0.34834328682373655,5.3408250181746535,0.5302797803205133,0.8459125000048465,-1.485739589249151,-3.2608229833137288,64.62032154857138,47.51596576970898
0.0075,-0.34623998873680745,5.337099818350845,0.522151755893039,0.8367468031537432,-1.4944074720353844,-3.2416046894866684,66.78920550525805,47.52956322958244
0.01,-0.34415978507485057,5.333353632342559,0.5140717201896018,0.8274376004896143,-1.5025285068471685,-3.2224319847963514,65.45126311372987,47.54014340978196
0.0125,-0.3421024889659766,5.329586874893013,0.5060395585122622,0.8184202819057221,-1.5108650215435895,-3.2033054490755646,67.36614856372364,47.55209349987215
0.015,-0.3400678673644801,5.325799892767375,0.4980551559798024,0.8092985456371776,-1.5187082600349038,-3.1842246495426347,66.26623243617163,47.56144365139426
0.0175,-0.33805572531948336,5.321993092823482,0.4901183976474062,0.8004362299145644,-1.5267196337672613,-3.1651900694701878,67.97524663324937,47.5718617580273
0.02,-0.33606583072286894,5.3181668259885395,0.48222916842075997,0.7915010644000859,-1.5342818182734625,-3.1462013455420483,67.07107637722916,47.58002107268483
0.0225,-0.3340979817478284,5.314321492659818,0.4743873531538612,0.7827993840255144,-1.5419731553823466,-3.1272588821004237,68.61152147658665,47.58901136893746
0.025,-0.3321519463137195,5.310457446711595,0.4665928365816612,0.7740506478386303,-1.5492519853547984,-3.1083623703419736,67.87013869337419,47.59602538665324
0.0275,-0.33022751661703276,5.306575083148436,0.4588455034010385,0.7655144928380245,-1.5566275488675256,-3.08951214925396,69.2712570814666,47.6036833654707
0.03,-0.32832445994893106,5.302674757879721,0.4511452382176778,0.7569525895296522,-1.56362144196891,-3.070707953060362,68.66668488726529,47.60960189565288
0.0325,-0.3264425632129857,5.298756861327461,0.4434919256139203,0.7485862847469674,-1.570684856776586,-3.051950065979088,69.95164665821952,47.61601617534652
0.035,-0.3245815925980317,5.2948217507443385,0.435885450106687,0.7402120133434787,-1.5773927753190573,-3.0332382563466638,69.46319677536955,47.62089181826803
0.0375,-0.3227413302437821,5.290869812591562,0.42832569620497724,0.7320194459371774,-1.5841471766752004,-3.0145727619653275,70.65054622124983,47.62614544739407
0.04,-0.3209215408937623,5.286901404935237,0.42081254837644316,0.7238338927718538,-1.5905685000031538,-2.9959533782977252,70.26157946855409,47.6300325306464
0.0425,-0.31912200234046284,5.28291691075818,0.41334589109662695,0.7158186049975416,-1.59701664333427,-2.9773803033988395,71.36630032059689,47.634203943719
0.045,-0.31734247763499723,5.278916688530468,0.4059256088223727,0.7078230645128376,-1.6031510729269012,-2.9588533543333537,71.06330864983741,47.637157749513015
0.0475,-0.3155827405566822,5.27490111813474,0.39855158603439816,0.6999883219868932,-1.6092954159293673,-2.940372694791061,72.0976172738843,47.64032147602325
0.05,-0.3138425522880052,5.270870558126109,0.3912237072161542,0.6921842380893387,-1.6151429040875658,-2.9219381590349927,71.869536620534,47.64239767474857
