t,x,y,ang,vx,vy,omega,thrust,torque
0.0,-3.707065095510107,4.801313609068455,-3.8006290880379106,-1.2471810788772653,-0.34376679910527863,-3.8425423576826736,0.0,200.0
0.0025,-3.7101811002985774,4.800424116739007,-3.8101656180378702,-1.24562307648303,-0.3678220529405551,-3.786705265682715,0.0,200.0
0.005,-3.713293212514427,4.79947452384565,-3.8195627323333956,-1.2440670203751052,-0.3918472564938765,-3.7310097342441817,0.0,200.0
0.0075,-3.7164014370203318,4.798464905467154,-3.828820784377087,-1.2425129081221529,-0.4158424473046282,-3.675455404476741,0.0,200.0
0.01,-3.719505778672893,4.797395336588499,-3.8379401267254583,-1.2409607372958722,-0.4398076628653008,-3.6200419183999335,0.0,200.0
0.0125,-3.7226062423226454,4.796265892100995,-3.846921111041205,-1.239410505470996,-0.4637429406215485,-3.5647689189408673,0.0,200.0
0.015,-3.7257028328140636,4.795076646802393,-3.8557640880954747,-1.237862210225287,-0.48764831797224767,-3.509636049931917,0.0,200.0
0.0175,-3.728795554985571,4.793827675397008,-3.864469407770123,-1.2363158491395332,-0.5115238322695552,-3.4546429561084273,0.0,200.0
0.02,-3.7318844136695475,4.792519052495832,-3.873037419059972,-1.234771419797545,-0.5353695208189672,-3.399789283106427,0.0,200.0
0.0225,-3.734969413692334,4.791150852616651,-3.881468470075056,-1.2332289197861517,-0.5591854208793766,-3.3450746774603415,0.0,200.0
0.025,-3.738050559874245,4.789723150184162,-3.889762908042867,-1.2316883466951962,-0.5829715696631323,-3.2904987866007183,0.0,200.0
0.0275,-3.7411278570295714,4.788236019530091,-3.89792107931059,-1.230149698117533,-0.6067280043360966,-3.236061258851953,0.0,200.0
0.03,-3.7442013099665905,4.786689534893305,-3.905943329347337,-1.2286129716490235,-0.6304547620177036,-3.1817617434300254,0.0,200.0
0.0325,-3.747270923487573,4.785083770419931,-3.913830002746372,-1.2270781648885323,-0.6541518797810167,-3.1275998904402362,0.0,200.0
0.035,-3.750336702388791,4.7834188001634725,-3.9215814432273306,-1.2255452754379232,-0.6778193946527875,-3.0735753508749553,0.0,200.0
0.0375,-3.753398651460525,4.781694698084923,-3.9291979936384367,-1.2240143009020563,-0.7014573436135128,-3.0196877766113706,0.0,200.0
0.04,-3.75645677548707,4.7799115380528825,-3.936679995958711,-1.2224852388887837,-0.7250657635974924,-2.965936820409246,0.0,200.0
0.0425,-3.7595110792467463,4.778069393843673,-3.9440277913001736,-1.2209580870089456,-0.7486446914928876,-2.912322135908684,0.0,200.0
0.045,-3.762561567511904,4.776168339141454,-3.9512417199100436,-1.2194328428763668,-0.772194164141778,-2.858843377627893,0.0,200.0
0.0475,-3.765608245048931,4.774208447538336,-3.9583221211729307,-1.2179095041078531,-0.7957142183402193,-2.8055002009609615,0.0,200.0
0.05,-3.768651116618263,4.772189792534499,-3.9652693336130227,-1.2163880683231874,-0.819204890838301,-2.7522922621756374,0.0,200.0
