t,x,y,ang,vx,vy,omega,thrust,torque
0.0,4.563592661409839,9.287832641396237,2.6712748317525565,1.2852864418815384,-2.8204852531353906,3.2992654935506427,0.0,-200.0
0.0025,4.5668038700909905,9.280755221192356,2.6794548919937418,1.2836808375409625,-2.84144654303345,3.2448057400749777,0.0,-200.0
0.005,4.570011067269003,9.273625430502102,2.687498975510098,1.2820772389519564,-2.8623816476883235,3.190484055273754,0.0,-200.0
0.0075,4.573214257955121,9.266443334747688,2.6954074270355797,1.2804756436088969,-2.883290599811116,3.1363000891094193,0.0,-200.0
0.01,4.576413447154333,9.259208999269596,2.703180590430156,1.278876049009291,-2.90417343207207,3.082253492431849,0.0,-200.0
0.0125,4.579608639865371,9.251922489326686,2.710818808682029,1.277278452653772,-2.9250301771006146,3.0283439169761013,0.0,-200.0
0.015,4.582799841080725,9.244583870096294,2.718322423909842,1.275682852046095,-2.9458608674854188,2.9745710153601683,0.0,-200.0
0.0175,4.585987055786647,9.237193206674336,2.7256917773648843,1.274089244693134,-2.96666553577444,2.920934441082741,0.0,-200.0
0.02,4.58917028896316,9.22975056407541,2.7329272094332913,1.272497628104877,-2.9874442144749764,2.867433848520974,0.0,-200.0
0.0225,4.592349545584069,9.222256007232893,2.740029059638236,1.2709079997944228,-3.0081969360537184,2.814068892928261,0.0,-200.0
0.025,4.595524830616961,9.21470960099905,2.7469976666421188,1.269320357277977,-3.0289237329367973,2.7608392304320106,0.0,-200.0
0.0275,4.59869614902322,9.207111410145131,2.7538333682487486,1.2677346980748476,-3.0496246375098375,2.707744518031433,0.0,-200.0
0.03,4.601863505758032,9.199461499361469,2.7605365014055194,1.266151019707442,-3.0702996821180064,2.654784413595327,0.0,-200.0
0.0325,4.605026905770392,9.191759933257588,2.7671074022055824,1.264569319701262,-3.090948899066066,2.6019585758598787,0.0,-200.0
0.035,4.608186354003113,9.184006776362299,2.7735464058900106,1.2629895955849013,-3.1115723206184214,2.5492666644264594,0.0,-200.0
0.0375,4.611341855392834,9.176202093123802,2.77985384684996,1.2614118448900409,-3.132169978999173,2.496708339759434,0.0,-200.0
0.04,4.614493414870027,9.16834594790979,2.7860300586288242,1.2598360651514446,-3.152741906392167,2.444283263183972,0.0,-200.0
0.0425,4.617641037359003,9.160438405007543,2.792075373924383,1.2582622539069566,-3.173288134941043,2.391991096883866,0.0,-200.0
0.045,4.620784727777924,9.152479528624033,2.7979901245909473,1.2566904086974962,-3.1938086967492882,2.3398315038993545,0.0,-200.0
0.0475,4.623924491038806,9.144469382886024,2.8037746416414957,1.255120527067055,-3.214303623880284,2.2878041481249514,0.0,-200.0
0.05,4.62706033204753,9.136408031840173,2.80942925524981,1.2535526065626927,-3.2347729483573584,2.235908694307278,0.0,-200.0
0.0525,4.630192255703849,9.128295539453125,2.8149542947526007,1.2519866447345334,-3.2552167021638354,2.184144808042906,0.0,-200.0
0.055,4.633320266901394,9.120131969611622,2.8203500886516304,1.250422639135761,-3.275634917243084,2.132512155776199,0.0,-199.94875265918628
0.0575,4.636444370527682,9.111917386122593,2.825616979386216,1.2488605873226166,-3.2960276254985694,2.0810222161089618,0.0,-199.84533096211916
0.06,4.639564571464128,9.103651852713261,2.8307553383229687,1.2473004868543942,-3.316394858793903,2.0296866521973085,0.0,-199.73311864056674
0.0625,4.642680874586044,9.095335433031236,2.8357655534454587,1.2457423352934363,-3.3367366489528902,1.9785070986943416,0.0,-199.612115694529
0.065,4.6457932847626555,9.08696819064462,2.840648016818706,1.2441861302051305,-3.3570530277595827,1.9274851861089222,0.0,-199.48232212400603
0.0675,4.648901806857104,9.078550189042108,2.8454031245788336,1.2426318691579064,-3.3773440269583266,1.8766225408161759,0.0,-199.34373792899774
0.07,4.652006445726456,9.07008149163308,2.850031276922746,1.2410795497232305,-3.397609678253812,1.8259207850679733,0.0,-199.1963631095042
0.0725,4.655107206221709,9.061562161747702,2.854532878097834,1.2395291694756037,-3.4178500133111234,1.7753815370033832,0.0,-199.0401976655254
0.075,4.658204093187804,9.052992262637032,2.8589083363917056,1.2379807259925564,-3.438065063755788,1.7250064106590997,0.0,-198.87524159706135
0.0775,4.661297111463626,9.04437185747311,2.8631580641219445,1.2364342168546454,-3.458254861173827,1.6747970159798427,0.0,-198.70149490411194
0.08,4.664386265882017,9.03570100934906,2.8672824776258916,1.2348896396454496,-3.4784194371118025,1.6247549588287322,0.0,-198.5189575866773
0.0825,4.667471561269783,9.026979781279191,2.871281997250454,1.2333469919515672,-3.4985588230768685,1.5748818409976357,0.0,-198.3247035101344
0.085,4.670553002447696,9.018208236199094,2.8751570481853035,1.2318062713626106,-3.51867305053682,1.5251799346229882,0.0,-198.11259382204673
