t,x,y,ang,vx,vy,omega,thrust,torque
0.0,-0.6028090105367734,7.622232670475649,4.72720464582834,1.7023434074759327,-0.5177876599746134,0.06854456543883776,24.72595281723848,-191.70630013615832
0.0025,-0.598548088033132,7.620908512584757,4.72732053679693,1.7063937498394557,-0.541533586250758,0.02418697611623219,24.211382211818762,-191.6303007405943
0.005,-0.5942772067270782,7.619525025173729,4.727325696327601,1.7103104789399821,-0.5652513961202872,-0.020040639885816856,23.701578281024176,-191.5469581801604
0.0075,-0.5899966989417045,7.618082277667735,4.727220451058017,1.7140949624712007,-0.5889417770690306,-0.06413691965366003,23.196541024854703,-191.45627245485645
0.01,-0.585706893583902,7.616580337829378,4.727005131028804,1.7177485656669096,-0.6126053717566062,-0.10810050372896435,22.696270443310343,-191.3582435646825
0.0125,-0.5814081161507403,7.615019271869516,4.726680069674925,1.7212726511203709,-0.6362427790101497,-0.15193003609995318,22.200766536391104,-191.25287150963857
0.015,-0.5771006887362679,7.613399144555614,4.726245603817076,1.724668578628185,-0.6598545548145288,-0.19562416419266843,21.710029304096985,-191.1401562897247
0.0175,-0.5727849300386736,7.611720019317603,4.725702073653095,1.727937705057757,-0.6834412132989078,-0.23918153886225485,21.224058746427986,-191.0200979049408
0.02,-0.568461155367751,7.6099819583513,4.7250498227494075,1.7310813842374313,-0.7070032277195473,-0.2826008143842663,20.742854863384103,-190.89269635528692
0.0225,-0.5641296766526097,7.608185022719362,4.7242891980324835,1.7341009668683847,-0.7305410314387408,-0.3258806484459944,20.26641765496534,-190.7579516407631
0.025,-0.559790802449581,7.606329272449803,4.723420549780319,1.736997800457366,-0.7540550188998077,-0.3690197021378187,19.794747121171692,-190.61586376136924
0.0275,-0.5554448379502666,7.6044147666320745,4.722444231613939,1.7397732292693864,-0.7775455465980742,-0.41201663994457915,19.327843262003167,-190.46643271710545
0.03,-0.5510920849896812,7.60244156351073,4.7213606004889215,1.7424285942994648,-0.801012934047791,-0.45487012973697044,18.865706077459755,-190.30965850797162
0.0325,-0.5467328420544442,7.600409720576672,4.720170016686946,1.7449652332625467,-0.8244574647449493,-0.49757884276295783,18.40833556754146,-190.1455411339678
0.035,-0.5423674042909729,7.598319294655997,4.7188728438073575,1.747384480600717,-0.8478793871259674,-0.5401414536392151,17.955731732248296,-189.97408059509408
0.0375,-0.5379960635136386,7.596170341996453,4.717469448758759,1.7496876675068391,-0.8712789155222324,-0.5825566403425837,17.507894571580238,-189.7952768913503
0.04,-0.5336191082128434,7.593962918351512,4.715960201750621,1.751876121963758,-0.8946562311104922,-0.6248230842015547,17.0648240855373,-189.60913002273654
0.0425,-0.5292368235629805,7.591697079062073,4.714345476284908,1.7539511687982157,-0.9180114828591022,-0.6669394698877708,16.626520274119486,-189.41563998925284
0.045,-0.5248494914302422,7.589372879135809,4.71262564914774,1.7559141297486334,-0.941344788470138,-0.7089044854075507,16.192983137326785,-189.21480679089913
0.0475,-0.5204573903802421,7.586990373324152,4.710801100401058,1.7577663235459238,-0.9646562353173965,-0.7507168220934354,15.764212675159202,-189.00663042767542
0.05,-0.5160607956854201,7.584549616196953,4.708872213374326,1.759509066006506,-0.9879458813803094,-0.7923751745957548,15.34020888761674,-188.79111089958172
0.0525,-0.5116599793322002,7.5820506622148,4.70683937465624,1.7611436701367025,-1.0112137561738035,-0.8338782408742168,14.9209717746994,-188.56824820661808
0.055,-0.507255210027874,7.579493565799024,4.70470297408647,1.7626714462477076,-1.0344598616741454,-0.875224722189517,14.506501336407174,-188.33804234878446
0.0575,-0.5028467532071847,7.576878381399391,4.702463404747419,1.7640937020803253,-1.0576841732408109,-0.9164133230949698,14.096797572740062,-188.10049332608077
0.06,-0.4984348710385878,7.5742051635594985,4.700121062955999,1.7654117429386824,-1.0808866405344244,-0.957442751428161,13.691860483698076,-187.8556011385072
0.0625,-0.49401982243016673,7.571473966979878,4.697676348255428,1.7666268718321303,-1.104067188430816,-0.9983117183026213,13.291690069281204,-187.60336578606356
0.065,-0.4896018630351852,7.568684846578817,4.695129663407057,1.7677403896245623,-1.1272257179312453,-1.039018938099521,12.896286329489453,-187.34378726875002
0.0675,-0.48518124525725714,7.565837857550916,4.692481414382208,1.768753595190376,-1.1503621070688406,-1.0795631284593854,12.505649264322818,-187.0768655865664
0.07,-0.48075821825511944,7.562933055423375,4.689732010354034,1.7696677855763248,-1.1734762118113056,-1.1199430102738326,12.119778873781302,-186.80260073951285
0.0725,-0.4763330279469937,7.559970496110039,4.686881863689408,1.770484256168508,-1.1965678669599407,-1.1601573076773297,11.738675157864906,-186.52099272758934
0.075,-0.4719059170145248,7.556950235963186,4.683931389940816,1.771204300863758,-1.2196368870450294,-1.2002047480389728,11.362338116573623,-186.23204155079577
0.0775,-0.4674771249062859,7.553872331823098,4.680881007838291,1.7718292122446977,-1.2426830672176352,-1.2400840619542852,10.990767749907466,-185.9357472091323
0.08,-0.46304688784084297,7.550736841065392,4.677731139281351,1.7723602817577417,-1.2657061841378532,-1.2797939832370386,10.623964057866422,-185.6321097025988
0.0825,-0.4586154388093704,7.547543821646144,4.674482209330966,1.7727987998933317,-1.2887059968595558,-1.3193332489110936,10.2619270404505,-185.32112903119534
0.085,-0.45418300757781443,7.544293332144802,4.6711346462015415,1.7731460563677026,-1.3116822477116714,-1.3587005992022614,9.904656697659693,-185.00280519492188
0.08750000000000001,-0.44974982068860136,7.5409854318049,4.667688881252924,1.7734033403054863,-1.3346346631760266,-1.397894777530186,9.552153029494004,-184.6771381937784
0.09,-0.44531610146188816,7.537620180572584,4.664145348982428,1.7735719404224688,-1.3575629547617807,-1.436914530500247,9.204416035953436,-184.344128027765
0.0925,-0.4408820699963575,7.534197639132952,4.6605044870168815,1.7736531452078275,-1.3804668198764718,-1.475758607895484,8.861445717037984,-184.00377469688158
