t,x,y,ang,thrust,torque
0.0,-1.8775042490841565,4.358429225965745,-1.7540370773260268,0.0,5.988374515590977
0.0025,-1.877426657592289,4.352763061352119,-1.7424586085746596,0.0,5.910312216560693
0.005,-1.8773491630291934,4.347042763284718,-1.7309060660965927,0.0,5.821909786832038
0.0075,-1.8772717652737843,4.341268399388084,-1.7193794321214764,0.0,5.723167226405014
0.01,-1.8771944642051275,4.335440037202282,-1.707878694881908,0.0,5.614084535279617
0.0125,-1.8771172597024401,4.329557744183006,-1.696403848598213,0.0,5.494661713455851
0.015,-1.8770401516450903,4.323621587701681,-1.684954893463264,0.0,5.3648987609337135
0.0175,-1.8769631399125966,4.317631635045572,-1.673531835627341,0.0,5.224795677713208
0.02,-1.876886224384628,4.311587953417886,-1.6621346871830247,0.0,5.074352463794329
0.0225,-1.8768094049410045,4.3054906099378805,-1.650763466150134,0.0,4.9135691191770805
0.025,-1.8767326814616951,4.299339671640963,-1.6394181964606982,0.0,4.742445643861461
0.0275,-1.8766560538268198,4.293135205478802,-1.6280989079439674,0.0,4.560982037847472
0.03,-1.8765795219166475,4.286877278319429,-1.6168056363114625,0.0,4.369178301135112
0.0325,-1.8765030856115972,4.28056595694734,-1.605538423142062,0.0,4.16703443372438
0.035,-1.8764267447922374,4.2742013080636045,-1.5942973158671265,0.0,3.9545504356152783
0.0375,-1.8763504993392852,4.267783398285967,-1.5830823677556616,0.0,3.7317263068078073
0.04,-1.8762743491336074,4.261312294148953,-1.571893637899518,0.0,3.4985620473019647
0.0425,-1.876198294056219,4.254788062103971,-1.5607311911986292,0.0,3.255057657097751
0.045,-1.8761223339882842,4.248210768519416,-1.5495950983462863,0.0,3.001213136195168
0.0475,-1.8760464688111151,4.241580479680776,-1.5384854358144504,0.0,2.7370284845942137
0.05,-1.8759706984061726,4.234897261790733,-1.5274022858391032,0.0,2.462503702294889
0.0525,-1.8758950226550652,4.228161180969268,-1.5163457364056327,0.0,2.177638789297194
0.055,-1.8758194414395497,4.221372303253763,-1.5053158812342575,0.004783119416075954,1.8824337456011273
0.0575,-1.875743953151004,4.214530694702342,-1.4943128197654878,0.05046002874334132,1.5768885712066907
0.06,-1.875668541962808,4.2076364224546925,-1.4833366571456226,0.10008993757973039,1.261003266113884
0.0625,-1.8755931781441377,4.200689555092254,-1.4723875042122845,0.1536728459252431,0.9347778303227066
0.065,-1.8755178296067978,4.193690162001672,-1.461465477479991,0.21120875377987974,0.5982122638331582
0.0675,-1.875442461926924,4.186638313450773,-1.4505706991257616,0.27269766114363997,0.25130656664523876
0.07,-1.8753670383682437,4.179534080663696,-1.4397032969747627,0.3381395680165239,-0.10593926124105035
0.0725,-1.8752915199068625,4.172377535895142,-1.4288634044859874,0.4075344743985315,-0.47352521982571005
0.075,-1.8752158652575492,4.165168752503727,-1.4180511607379729,0.4808823802896629,-0.8514513091087408
0.0775,-1.8751400309014856,4.157907805024406,-1.4072667104145535,0.558183285689918,-1.2397175290901425
0.08,-1.87506397111545,4.1505947692399285,-1.39651020379065,0.6394371905992968,-1.638323879769914
0.0825,-1.8749876380024022,4.143229722251321,-1.3857817967180943,0.7254139342022958,-2.0471127003332885
0.085,-1.8749109812872278,4.135812742592434,-1.3750816505660508,0.8521821438010948,-2.4586972413362975
0.08750000000000001,-1.8748339370721068,4.128343912582138,-1.3644099300326344,1.0394571960745498,-2.8690398512625674
0.09,-1.8747564109074573,4.120823322308779,-1.3537667998455587,1.2872390910226608,-3.2781405301120974
0.0925,-1.874678272047322,4.1132510719012485,-1.3431524235993222,1.5955278286454273,-3.6859992778848887
0.095,-1.8745993537901058,4.105627272674244,-1.3325669637580817,1.9643234089428496,-4.092616094580939
0.0975,-1.874519453841751,4.097952048259542,-1.322010581658518,2.393625831914928,-4.497990980200252
0.1,-1.874438334700865,4.090225535722883,-1.311483437512694,2.8834350975616623,-4.902123934742826
0.10250000000000001,-1.8743557240653022,4.082447886666106,-1.3009856904109067,3.4337512058830484,-5.305014958208656
0.105,-1.8742713152596981,4.074619268314171,-1.2905174983245302,4.044574156879094,-5.706664050597751
0.1075,-1.8741847676834558,4.0667398645867285,-1.2800790181088526,4.715903950549796,-6.107071211910107
0.11,-1.8740957072786686,4.0588098771539025,-1.269670405505906,5.4477405868951525,-6.506236442145722
0.1125,-1.87400372701747,4.050829526475977,-1.259291815147289,6.240084065915166,-6.904159741304599
0.115,-1.873908387408291,4.042799052826679,-1.2489434005569808,45.6242499151803,-7.575306893703948
0.11750000000000001,-1.8737978122455134,4.0347225638619655,-1.238625393260023,12.65550940480594,-7.886663778009016
0.12,-1.8736701597396268,4.026600853551923,-1.2283379991779153,15.372217374295843,-8.277433553758264
0.1225,-1.8735344226645123,4.018431019414561,-1.2180813429881059,15.826267134393715,-8.662469531950496
0.125,-1.8733897117561418,4.010213545716238,-1.2078555702682092,16.44564679561789,-9.04716614245787
0.1275,-1.8732357597799658,4.0019487044727,-1.1976608244777698,17.012491088929092,-9.431146715503706
0.13,-1.8730722702666482,3.993636785713056,-1.1874972484085238,17.555630132919532,-9.814549002125412
0.1325,-1.872898972846751,3.9852780765541285,-1.177364984117323,18.07379544787437,-10.197441722648048
0.135,-1.8727156150643534,3.976872863720761,-1.167264172987474,18.569806073867397,-10.579895572013754
0.1375,-1.8725219618038558,3.9684214332372925,-1.15719495577061,19.10156888692539,-10.962010198756843
0.14,-1.8723177778122002,3.959924077620476,-1.1471574726373712,20.629848015810236,-11.344389656102988
0.14250000000000002,-1.8721025381369654,3.9513812275738203,-1.137151863381673,22.21282771183823,-11.725027297177926
0.145,-1.8718754265055835,3.942793461160524,-1.1271782670172619,23.694802001474674,-12.10384395421452
0.1475,-1.8716356498551088,3.9341613660300516,-1.1172368211790127,25.12681728861022,-12.481114621475152
0.15,-1.8713824677786908,3.925485524680701,-1.1073276621828863,26.499318799314995,-12.856995051379338
0.1525,-1.8711151804209598,3.9167665187282976,-1.0974509251533533,27.821058674171844,-13.231660122469382
0.155,-1.8708331283804878,3.9080049276998436,-1.0876067441216717,29.09417896810815,-13.605262523632428
0.1575,-1.870535689343581,3.8992013295066315,-1.0777952521230256,30.322687923645205,-13.97794785767268
0.16,-1.870222276074094,3.890356300355371,-1.068016581284987,31.509474690132507,-14.349850626208648
0.1625,-1.8698923342185276,3.8814704148475863,-1.0582708629105122,32.65748495461168,-14.721096888354639
0.165,-1.869545340428147,3.8725442460025583,-1.0485582275550969,33.76929411626885,-15.09180428326052
0.1675,-1.8691808005882313,3.863578365303651,-1.0388788050988795,34.84732133821917,-15.462082984868921
0.17,-1.8687982482110326,3.8545733427296085,-1.0292327248139848,35.89376862799316,-15.832036172127301
0.17250000000000001,-1.8683972429485298,3.845529746787298,-1.019620115427529,36.910677124208036,-16.2017606211976
0.17500000000000002,-1.8679773692245,3.8364481445394203,-1.0100411051806086,37.899926270299176,-16.571347164517377
0.1775,-1.8675382349692637,3.827329101630603,-1.0004958218835802,38.86325717230909,-16.940881142075586
0.18,-1.8670794704495648,3.8181731823107543,-0.9909843929679064,39.8022814358374,-17.31044279364234
0.1825,-1.8666007271836067,3.808980949456612,-0.9815069455348188,40.71849509213807,-17.680107624071287
0.185,-1.8661016769339418,3.7997529645913777,-0.9720636064010238,41.613287827583854,-18.04994673163132
0.1875,-1.865582010770935,3.790489787902808,-0.9626545021416597,42.48795295805243,-18.42002711007481
0.19,-1.8650414382006975,3.7811919782598413,-0.9532797591306914,43.34369540340734,-18.790411923542017
0.1925,-1.864479686351813,3.7718600932279656,-0.9439395035789186,44.21873607733788,-19.160921775958364
0.195,-1.8638964898523191,3.762494695909997,-0.9346338615008739,45.42005597740221,-19.52916442963561
0.1975,-1.863291504290943,3.753096419076607,-0.9253629579741737,46.473193803300305,-19.89392128977224
0.2,-1.862664349529409,3.743665935249748,-0.9161269161017713,47.58421465224176,-20.255552810890233
0.2025,-1.8620146775816644,3.734203907239067,-0.9069258567699294,48.62215525403666,-20.61400312721772
0.20500000000000002,-1.8613421535061956,3.7247110015467904,-0.8977598987415393,49.67507838721311,-20.969476608986607
0.20750000000000002,-1.860646465955167,3.7151878799192137,-0.8886291587043197,50.68597879083922,-21.322001453369648
